"COUNTRY","PRODUCT","YEAR","ANNUAL_VALUE"
"Argentina","Net electricity production",2018,139188.116903
"Argentina","Net electricity production",2019,132462.31304
"Argentina","Net electricity production",2020,137574.62146
"Argentina","Net electricity production",2021,151547.505696
"Argentina","Net electricity production",2022,139954.955711
"Argentina","Non-renewables",2015,104023.26
"Argentina","Non-renewables",2016,108158.284
"Argentina","Non-renewables",2017,104623.013
"Argentina","Non-renewables",2018,104535.897342
"Argentina","Non-renewables",2019,97938.231521
"Argentina","Non-renewables",2020,101182.577594
"Argentina","Non-renewables",2021,108960.109232
"Argentina","Non-renewables",2022,96813.168722
"Argentina","Not specified",2018,0
"Argentina","Not specified",2019,0
"Argentina","Not specified",2020,0
"Argentina","Not specified",2021,0
"Argentina","Nuclear",2015,6644.077
"Argentina","Nuclear",2016,7820.169
"Argentina","Nuclear",2017,5770.611
"Argentina","Nuclear",2018,6514.307078
"Argentina","Nuclear",2019,7969.468523
"Argentina","Nuclear",2020,10064.414559
"Argentina","Nuclear",2021,10224.076091
"Argentina","Nuclear",2022,7509.18667
"Argentina","Oil",2015,20709.709
"Argentina","Oil",2016,19428.727
"Argentina","Oil",2017,10945.125
"Argentina","Oil",2018,6391.667159
"Argentina","Oil",2019,3240.016438
"Argentina","Oil",2020,6316.765218
"Argentina","Oil",2021,7751.433264
"Argentina","Oil",2022,16160.818707
"Argentina","Other combustible non-renewables",2015,0
"Argentina","Other combustible non-renewables",2016,0
"Argentina","Other combustible non-renewables",2017,0
"Argentina","Other combustible non-renewables",2018,0
"Argentina","Other combustible non-renewables",2019,0
"Argentina","Other combustible non-renewables",2020,0
"Argentina","Other combustible non-renewables",2021,0
"Argentina","Other renewables",2015,0
"Argentina","Other renewables",2018,0
"Argentina","Other renewables",2019,0
"Argentina","Other renewables",2020,0
"Argentina","Other renewables",2021,0
"Argentina","Other renewables aggregated",2015,1120.509
"Argentina","Other renewables aggregated",2016,1139.279
"Argentina","Other renewables aggregated",2017,1303.542
"Argentina","Other renewables aggregated",2018,1276.393094
"Argentina","Other renewables aggregated",2019,1550.907881
"Argentina","Other renewables aggregated",2020,2128.817059
"Argentina","Other renewables aggregated",2021,3312.153042
"Argentina","Other renewables aggregated",2022,2232.912579
"Argentina","Others",2015,20709.709
"Argentina","Others",2016,19428.727
"Argentina","Others",2017,10945.125
"Argentina","Others",2018,6391.667159
"Argentina","Others",2019,3240.016438
"Argentina","Others",2020,6316.765218
"Argentina","Others",2021,7751.433264
"Argentina","Others",2022,16160.818707
"Argentina","Renewables",2015,33567.573
"Argentina","Renewables",2016,31013.883
"Argentina","Renewables",2017,33292.217
"Argentina","Renewables",2018,34652.21956
"Argentina","Renewables",2019,34524.081521
"Argentina","Renewables",2020,36392.04386
"Argentina","Renewables",2021,42587.396466
"Argentina","Renewables",2022,43141.786988
"Argentina","Solar",2015,11.392
"Argentina","Solar",2016,12.597
"Argentina","Solar",2017,13.784
"Argentina","Solar",2018,107.512407
"Argentina","Solar",2019,791.843581
"Argentina","Solar",2020,1331.154
"Argentina","Solar",2021,2174.016387
"Argentina","Solar",2022,2908.846135
"Argentina","Total combustible fuels",2015,98499.693
"Argentina","Total combustible fuels",2016,101477.393
"Argentina","Total combustible fuels",2017,100155.943
"Argentina","Total combustible fuels",2018,99297.98336
"Argentina","Total combustible fuels",2019,91519.67088
"Argentina","Total combustible fuels",2020,93246.980101
"Argentina","Total combustible fuels",2021,102048.186182
"Argentina","Total combustible fuels",2022,91536.894631
"Argentina","Total exports",2015,4.73
"Argentina","Total exports",2016,28.29
"Argentina","Total exports",2017,5.954
"Argentina","Total exports",2018,0
"Argentina","Total exports",2019,0
"Argentina","Total exports",2020,0
"Argentina","Total exports",2021,0
"Argentina","Total imports",2015,775.41
"Argentina","Total imports",2016,847.033
"Argentina","Total imports",2017,905.536
"Argentina","Total imports",2018,0
"Argentina","Total imports",2019,0
"Argentina","Total imports",2020,0
"Argentina","Total imports",2021,0
"Argentina","Used for pumped storage",2015,-20.55
"Argentina","Used for pumped storage",2016,-24.59
"Argentina","Used for pumped storage",2017,-16.948
"Argentina","Used for pumped storage",2018,0
"Argentina","Used for pumped storage",2019,0
"Argentina","Used for pumped storage",2020,0
"Argentina","Used for pumped storage",2021,0
"Argentina","Wind",2015,588.61
"Argentina","Wind",2016,543.942
"Argentina","Wind",2017,607.149
"Argentina","Wind",2018,1402.536471
"Argentina","Wind",2019,4946.89734
"Argentina","Wind",2020,9318.209669
"Argentina","Wind",2021,12810.478919
"Argentina","Wind",2022,14025.337741
"Australia","Coal",2010,163887.775
"Australia","Coal",2011,163949.76
"Australia","Coal",2012,153868.902
"Australia","Coal",2013,145139.331
"Australia","Coal",2014,145301.084
"Australia","Coal",2015,152537.683463
"Australia","Coal",2016,154201.646306
"Australia","Coal",2017,148597.716462
"Australia","Coal",2018,146846.260225
"Australia","Coal",2019,140407.62128
"Australia","Coal",2020,133924.562421
"Australia","Coal",2021,128379.921504
"Australia","Coal",2022,120858.246747
"Australia","Combustible renewables",2010,2288.826
"Australia","Combustible renewables",2011,2416.65
"Australia","Combustible renewables",2012,2902.194
"Australia","Combustible renewables",2013,3110.928
"Australia","Combustible renewables",2014,3333.354
"Australia","Combustible renewables",2015,3256.703256
"Australia","Combustible renewables",2016,5225.048168
"Australia","Combustible renewables",2017,3589.239142
"Australia","Combustible renewables",2018,3190.957703
"Australia","Combustible renewables",2019,3052.014079
"Australia","Combustible renewables",2020,2988.494366
"Australia","Combustible renewables",2021,3004.041045
"Australia","Combustible renewables",2022,2915.756937
"Australia","Distribution losses",2010,16380.629
"Australia","Distribution losses",2011,15364.112
"Australia","Distribution losses",2012,13867.472
"Australia","Distribution losses",2013,12258.709
"Australia","Distribution losses",2014,12094.355
"Australia","Distribution losses",2015,9350.440145
"Australia","Distribution losses",2016,12610.480789
"Australia","Distribution losses",2017,10116.778302
"Australia","Distribution losses",2018,10068.574523
"Australia","Distribution losses",2019,9654.373651
"Australia","Distribution losses",2020,9719.143667
"Australia","Distribution losses",2021,11073.082441
"Australia","Distribution losses",2022,11480.596954
"Australia","Electricity supplied",2010,236625.007
"Australia","Electricity supplied",2011,238983.888
"Australia","Electricity supplied",2012,236509.201
"Australia","Electricity supplied",2013,231363.001
"Australia","Electricity supplied",2014,238212.236
"Australia","Electricity supplied",2015,241062.0317
"Australia","Electricity supplied",2016,245911.367046
"Australia","Electricity supplied",2017,245281.238927
"Australia","Electricity supplied",2018,247769.798338
"Australia","Electricity supplied",2019,251773.447166
"Australia","Electricity supplied",2020,252024.5703
"Australia","Electricity supplied",2021,255973.996381
"Australia","Electricity supplied",2022,262333.481146
"Australia","Electricity trade",2018,0
"Australia","Electricity trade",2019,0
"Australia","Electricity trade",2020,0
"Australia","Electricity trade",2021,0
"Australia","Final consumption",2010,220091.029
"Australia","Final consumption",2011,223451.837
"Australia","Final consumption",2012,222415.4
"Australia","Final consumption",2013,218899.242
"Australia","Final consumption",2014,225954.139
"Australia","Final consumption",2015,231493.368102
"Australia","Final consumption",2016,232779.599721
"Australia","Final consumption",2017,234813.794346
"Australia","Final consumption",2018,237290.921139
"Australia","Final consumption",2019,241563.852661
"Australia","Final consumption",2020,241661.504451
"Australia","Final consumption",2021,244105.254941
"Australia","Final consumption",2022,250004.376275
"Australia","Fossil fuels",2010,212014.138
"Australia","Fossil fuels",2011,213905.512
"Australia","Fossil fuels",2012,206632.233
"Australia","Fossil fuels",2013,195695.324
"Australia","Fossil fuels",2014,205342.418
"Australia","Fossil fuels",2015,206028.673386
"Australia","Fossil fuels",2016,201931.847182
"Australia","Fossil fuels",2017,205983.082267
"Australia","Fossil fuels",2018,197637.065256
"Australia","Fossil fuels",2019,196097.987605
"Australia","Fossil fuels",2020,186723.655328
"Australia","Fossil fuels",2021,176388.202328
"Australia","Fossil fuels",2022,171192.714042
"Australia","Geothermal",2010,0.996
"Australia","Geothermal",2011,0.996
"Australia","Geothermal",2012,0.996
"Australia","Geothermal",2013,0.996
"Australia","Geothermal",2014,0.996
"Australia","Geothermal",2015,0.498
"Australia","Geothermal",2016,0.498
"Australia","Geothermal",2017,0.498
"Australia","Geothermal",2018,0
"Australia","Geothermal",2019,0
"Australia","Geothermal",2020,0
"Australia","Geothermal",2021,0
"Australia","Hydro",2010,16471.891
"Australia","Hydro",2011,13997.977
"Australia","Hydro",2012,16664.078
"Australia","Hydro",2013,19259.803
"Australia","Hydro",2014,14590.378
"Australia","Hydro",2015,14263.526273
"Australia","Hydro",2016,17985.428191
"Australia","Hydro",2017,13532.228373
"Australia","Hydro",2018,17819.081472
"Australia","Hydro",2019,14275.702701
"Australia","Hydro",2020,14880.598574
"Australia","Hydro",2021,16328.370592
"Australia","Hydro",2022,17275.541669
"Australia","Low carbon",2010,24610.86
"Australia","Low carbon",2011,25078.374
"Australia","Low carbon",2012,29876.966
"Australia","Low carbon",2013,35667.676
"Australia","Low carbon",2014,32869.815
"Australia","Low carbon",2015,35033.856311
"Australia","Low carbon",2016,43979.519863
"Australia","Low carbon",2017,39298.654663
"Australia","Low carbon",2018,50132.733078
"Australia","Low carbon",2019,55675.459561
"Australia","Low carbon",2020,65300.914967
"Australia","Low carbon",2021,79585.79405
"Australia","Low carbon",2022,91140.767104
"Australia","Natural gas",2010,45678.585
"Australia","Natural gas",2011,44615.347
"Australia","Natural gas",2012,48105.378
"Australia","Natural gas",2013,46127.382
"Australia","Natural gas",2014,53926.202
"Australia","Natural gas",2015,47353.981764
"Australia","Natural gas",2016,44037.96038
"Australia","Natural gas",2017,51955.10027
"Australia","Natural gas",2018,46601.462012
"Australia","Natural gas",2019,50938.664822
"Australia","Natural gas",2020,48812.826783
"Australia","Natural gas",2021,43937.149619
"Australia","Natural gas",2022,46024.53088
"Australia","Net electricity production",2010,236625.007
"Australia","Net electricity production",2011,238983.888
"Australia","Net electricity production",2012,236509.201
"Australia","Net electricity production",2013,231363.001
"Australia","Net electricity production",2014,238212.236
"Australia","Net electricity production",2015,241062.0317
"Australia","Net electricity production",2016,245911.367046
"Australia","Net electricity production",2017,245281.238927
"Australia","Net electricity production",2018,247769.798338
"Australia","Net electricity production",2019,251773.447166
"Australia","Net electricity production",2020,252024.5703
"Australia","Net electricity production",2021,255973.996381
"Australia","Net electricity production",2022,262333.481146
"Australia","Non-renewables",2010,212014.138
"Australia","Non-renewables",2011,213905.512
"Australia","Non-renewables",2012,206632.233
"Australia","Non-renewables",2013,195695.324
"Australia","Non-renewables",2014,205342.418
"Australia","Non-renewables",2015,206028.673386
"Australia","Non-renewables",2016,201931.847182
"Australia","Non-renewables",2017,205983.082267
"Australia","Non-renewables",2018,197637.065256
"Australia","Non-renewables",2019,196097.987605
"Australia","Non-renewables",2020,186723.655328
"Australia","Non-renewables",2021,176388.202328
"Australia","Non-renewables",2022,171192.714042
"Australia","Not specified",2018,0
"Australia","Not specified",2019,0
"Australia","Not specified",2020,0
"Australia","Not specified",2021,0
"Australia","Nuclear",2018,0
"Australia","Nuclear",2019,0
"Australia","Nuclear",2020,0
"Australia","Nuclear",2021,0
"Australia","Oil",2010,2447.778
"Australia","Oil",2011,5340.405
"Australia","Oil",2012,4657.953
"Australia","Oil",2013,4428.611
"Australia","Oil",2014,6115.132
"Australia","Oil",2015,6137.008159
"Australia","Oil",2016,3692.240496
"Australia","Oil",2017,5430.265535
"Australia","Oil",2018,4189.343019
"Australia","Oil",2019,4751.701503
"Australia","Oil",2020,3986.266124
"Australia","Oil",2021,4071.131205
"Australia","Oil",2022,4309.936415
"Australia","Other combustible non-renewables",2018,0
"Australia","Other combustible non-renewables",2019,0
"Australia","Other combustible non-renewables",2020,0
"Australia","Other combustible non-renewables",2021,0
"Australia","Other combustible non-renewables",2022,0
"Australia","Other renewables",2018,0
"Australia","Other renewables",2019,0
"Australia","Other renewables",2020,0
"Australia","Other renewables",2021,0
"Australia","Other renewables aggregated",2010,2289.822
"Australia","Other renewables aggregated",2011,2417.646
"Australia","Other renewables aggregated",2012,2903.19
"Australia","Other renewables aggregated",2013,3111.924
"Australia","Other renewables aggregated",2014,3334.35
"Australia","Other renewables aggregated",2015,3257.201256
"Australia","Other renewables aggregated",2016,5225.546168
"Australia","Other renewables aggregated",2017,3589.737142
"Australia","Other renewables aggregated",2018,3190.957703
"Australia","Other renewables aggregated",2019,3052.014079
"Australia","Other renewables aggregated",2020,2988.494366
"Australia","Other renewables aggregated",2021,3004.041045
"Australia","Other renewables aggregated",2022,2915.756937
"Australia","Others",2010,2447.778
"Australia","Others",2011,5340.405
"Australia","Others",2012,4657.953
"Australia","Others",2013,4428.611
"Australia","Others",2014,6115.132
"Australia","Others",2015,6137.008159
"Australia","Others",2016,3692.240496
"Australia","Others",2017,5430.265535
"Australia","Others",2018,4189.343019
"Australia","Others",2019,4751.701503
"Australia","Others",2020,3986.266124
"Australia","Others",2021,4071.131205
"Australia","Others",2022,4309.936415
"Australia","Renewables",2010,24610.86
"Australia","Renewables",2011,25078.374
"Australia","Renewables",2012,29876.966
"Australia","Renewables",2013,35667.676
"Australia","Renewables",2014,32869.815
"Australia","Renewables",2015,35033.856311
"Australia","Renewables",2016,43979.519863
"Australia","Renewables",2017,39298.654663
"Australia","Renewables",2018,50132.733078
"Australia","Renewables",2019,55675.459561
"Australia","Renewables",2020,65300.914967
"Australia","Renewables",2021,79585.79405
"Australia","Renewables",2022,91140.767104
"Australia","Solar",2010,908.238
"Australia","Solar",2011,1875.002
"Australia","Solar",2012,2920.854
"Australia","Solar",2013,3752.444
"Australia","Solar",2014,4534.416
"Australia","Solar",2015,5022.856996
"Australia","Solar",2016,7066.919425
"Australia","Solar",2017,8683.883517
"Australia","Solar",2018,12276.586668
"Australia","Solar",2019,18630.149639
"Australia","Solar",2020,24597.685964
"Australia","Solar",2021,33292.411623
"Australia","Solar",2022,39676.769344
"Australia","Total combustible fuels",2010,214302.969
"Australia","Total combustible fuels",2011,216322.159
"Australia","Total combustible fuels",2012,209534.422
"Australia","Total combustible fuels",2013,198806.252
"Australia","Total combustible fuels",2014,208675.772
"Australia","Total combustible fuels",2015,209285.376641
"Australia","Total combustible fuels",2016,207156.89535
"Australia","Total combustible fuels",2017,209572.321406
"Australia","Total combustible fuels",2018,200828.022961
"Australia","Total combustible fuels",2019,199150.001687
"Australia","Total combustible fuels",2020,189712.149699
"Australia","Total combustible fuels",2021,179392.243375
"Australia","Total combustible fuels",2022,174108.47098
"Australia","Total exports",2018,0
"Australia","Total exports",2019,0
"Australia","Total exports",2020,0
"Australia","Total exports",2021,0
"Australia","Total imports",2018,0
"Australia","Total imports",2019,0
"Australia","Total imports",2020,0
"Australia","Total imports",2021,0
"Australia","Used for pumped storage",2010,93.736
"Australia","Used for pumped storage",2011,167.935
"Australia","Used for pumped storage",2012,201.318
"Australia","Used for pumped storage",2013,205.049
"Australia","Used for pumped storage",2014,155.53
"Australia","Used for pumped storage",2015,218.223453
"Australia","Used for pumped storage",2016,521.286534
"Australia","Used for pumped storage",2017,350.666279
"Australia","Used for pumped storage",2018,410.302675
"Australia","Used for pumped storage",2019,555.220856
"Australia","Used for pumped storage",2020,643.922181
"Australia","Used for pumped storage",2021,795.659001
"Australia","Used for pumped storage",2022,848.507916
"Australia","Wind",2010,4940.909
"Australia","Wind",2011,6787.749
"Australia","Wind",2012,7388.844
"Australia","Wind",2013,9543.505
"Australia","Wind",2014,10410.671
"Australia","Wind",2015,12490.271786
"Australia","Wind",2016,13701.626079
"Australia","Wind",2017,13492.805631
"Australia","Wind",2018,16846.107235
"Australia","Wind",2019,19717.593142
"Australia","Wind",2020,22834.136063
"Australia","Wind",2021,26960.97079
"Australia","Wind",2022,31272.699154
"Austria","Coal",2010,6371.891
"Austria","Coal",2011,6965.076
"Austria","Coal",2012,5944.036
"Austria","Coal",2013,5851.196
"Austria","Coal",2014,4630.442
"Austria","Coal",2015,4801.643
"Austria","Coal",2016,3775.207
"Austria","Coal",2017,3736.746
"Austria","Coal",2018,3449.138052
"Austria","Coal",2019,3269.830181
"Austria","Coal",2020,2254.07255
"Austria","Coal",2021,2046.5543
"Austria","Coal",2022,1904.740307
"Austria","Combustible renewables",2010,4259.133
"Austria","Combustible renewables",2011,4329.565
"Austria","Combustible renewables",2012,4467.186
"Austria","Combustible renewables",2013,4485.963
"Austria","Combustible renewables",2014,4325.253
"Austria","Combustible renewables",2015,4409.848
"Austria","Combustible renewables",2016,4545.765
"Austria","Combustible renewables",2017,4697.941
"Austria","Combustible renewables",2018,4697.439428
"Austria","Combustible renewables",2019,4458.814842
"Austria","Combustible renewables",2020,4392.239384
"Austria","Combustible renewables",2021,4193.089411
"Austria","Combustible renewables",2022,4506.873494
"Austria","Distribution losses",2010,3350.899
"Austria","Distribution losses",2011,3470.055
"Austria","Distribution losses",2012,3528.233
"Austria","Distribution losses",2013,3541.171
"Austria","Distribution losses",2014,3409.874
"Austria","Distribution losses",2015,3466.995
"Austria","Distribution losses",2016,3339.002
"Austria","Distribution losses",2017,3459.036
"Austria","Distribution losses",2018,3335.986001
"Austria","Distribution losses",2019,3304.538
"Austria","Distribution losses",2020,3191.822
"Austria","Distribution losses",2021,3235.799291
"Austria","Distribution losses",2022,3251.978015
"Austria","Electricity supplied",2010,70046.019
"Austria","Electricity supplied",2011,70691.093
"Austria","Electricity supplied",2012,72118.179
"Austria","Electricity supplied",2013,72570.152
"Austria","Electricity supplied",2014,71512.323
"Austria","Electricity supplied",2015,72019.239
"Austria","Electricity supplied",2016,72119.789
"Austria","Electricity supplied",2017,74639.504
"Austria","Electricity supplied",2018,74330.515999
"Austria","Electricity supplied",2019,73902.495335
"Austria","Electricity supplied",2020,70823.685779
"Austria","Electricity supplied",2021,74777.286572
"Austria","Electricity supplied",2022,73792.514714
"Austria","Electricity trade",2010,-2436.623
"Austria","Electricity trade",2011,-8199.357
"Austria","Electricity trade",2012,-2802.965
"Austria","Electricity trade",2013,-7270.456
"Austria","Electricity trade",2014,-9274.725
"Austria","Electricity trade",2015,-10061.517
"Austria","Electricity trade",2016,-7159.271
"Austria","Electricity trade",2017,-6545.913
"Austria","Electricity trade",2018,-8946.804999
"Austria","Electricity trade",2019,-3128.582998
"Austria","Electricity trade",2020,-2195.812002
"Austria","Electricity trade",2021,-7543.156284
"Austria","Electricity trade",2022,-8713.221225
"Austria","Final consumption",2010,62071.792
"Austria","Final consumption",2011,62132.289
"Austria","Final consumption",2012,62952.101
"Austria","Final consumption",2013,63546.712
"Austria","Final consumption",2014,62557.417
"Austria","Final consumption",2015,63583.965
"Austria","Final consumption",2016,64527.289
"Austria","Final consumption",2017,65569.86
"Austria","Final consumption",2018,65860.255999
"Austria","Final consumption",2019,65733.003335
"Austria","Final consumption",2020,62819.518779
"Austria","Final consumption",2021,66092.687391
"Austria","Final consumption",2022,64004.608041
"Austria","Fossil fuels",2010,21800.133
"Austria","Fossil fuels",2011,20283.87
"Austria","Fossil fuels",2012,16594.215
"Austria","Fossil fuels",2013,13472.988
"Austria","Fossil fuels",2014,10867.237
"Austria","Fossil fuels",2015,13551.795
"Austria","Fossil fuels",2016,13493.428
"Austria","Fossil fuels",2017,15645.361
"Austria","Fossil fuels",2018,14276.942569
"Austria","Fossil fuels",2019,15537.91516
"Austria","Fossil fuels",2020,13189.888616
"Austria","Fossil fuels",2021,13761.515277
"Austria","Fossil fuels",2022,13819.937303
"Austria","Geothermal",2010,1.332
"Austria","Geothermal",2011,0.996
"Austria","Geothermal",2012,0.648
"Austria","Geothermal",2013,0.288
"Austria","Geothermal",2014,0.36
"Austria","Geothermal",2015,0.06
"Austria","Geothermal",2016,0.024
"Austria","Geothermal",2017,0.084
"Austria","Geothermal",2018,0.228
"Austria","Geothermal",2019,0.192
"Austria","Geothermal",2020,0.069996
"Austria","Geothermal",2021,0.069996
"Austria","Geothermal",2022,0.03
"Austria","Hydro",2010,39502.566
"Austria","Hydro",2011,35873.536
"Austria","Hydro",2012,45579.643
"Austria","Hydro",2013,43731.024
"Austria","Hydro",2014,42640.368
"Austria","Hydro",2015,38514.267
"Austria","Hydro",2016,40900.711
"Austria","Hydro",2017,40264.88
"Austria","Hydro",2018,39276.358001
"Austria","Hydro",2019,41983.337777
"Austria","Hydro",2020,41935.609708
"Austria","Hydro",2021,40863.450234
"Austria","Hydro",2022,37102.721408
"Austria","Low carbon",2010,45826.312
"Austria","Low carbon",2011,42218.769
"Austria","Low carbon",2012,52731.957
"Austria","Low carbon",2013,51840.084
"Austria","Low carbon",2014,51383.104
"Austria","Low carbon",2015,48420.051
"Austria","Low carbon",2016,51481.804
"Austria","Low carbon",2017,52460.169
"Austria","Low carbon",2018,51119.295429
"Austria","Low carbon",2019,55248.228181
"Austria","Low carbon",2020,55447.60816
"Austria","Low carbon",2021,53481.721502
"Austria","Low carbon",2022,51271.327695
"Austria","Natural gas",2010,13641.248
"Austria","Natural gas",2011,11808.889
"Austria","Natural gas",2012,9272.393
"Austria","Natural gas",2013,6352.806
"Austria","Natural gas",2014,5060.415
"Austria","Natural gas",2015,7271.462
"Austria","Natural gas",2016,8071.677
"Austria","Natural gas",2017,10419.578
"Austria","Natural gas",2018,9450.281396
"Austria","Natural gas",2019,10837.642527
"Austria","Natural gas",2020,9523.693792
"Austria","Natural gas",2021,10282.254484
"Austria","Natural gas",2022,10484.410024
"Austria","Net electricity production",2010,67609.396
"Austria","Net electricity production",2011,62491.736
"Austria","Net electricity production",2012,69315.214
"Austria","Net electricity production",2013,65299.696
"Austria","Net electricity production",2014,62237.598
"Austria","Net electricity production",2015,61957.722
"Austria","Net electricity production",2016,64960.518
"Austria","Net electricity production",2017,68093.591
"Austria","Net electricity production",2018,65383.711
"Austria","Net electricity production",2019,70773.912337
"Austria","Net electricity production",2020,68627.873777
"Austria","Net electricity production",2021,67234.130288
"Austria","Net electricity production",2022,65079.293489
"Austria","Non-renewables",2010,21800.133
"Austria","Non-renewables",2011,20283.87
"Austria","Non-renewables",2012,16594.215
"Austria","Non-renewables",2013,13472.988
"Austria","Non-renewables",2014,10867.237
"Austria","Non-renewables",2015,13551.795
"Austria","Non-renewables",2016,13493.428
"Austria","Non-renewables",2017,15645.361
"Austria","Non-renewables",2018,14276.942569
"Austria","Non-renewables",2019,15537.91516
"Austria","Non-renewables",2020,13189.888616
"Austria","Non-renewables",2021,13761.515277
"Austria","Non-renewables",2022,13819.937303
"Austria","Not specified",2010,17.046
"Austria","Not specified",2011,10.904
"Austria","Not specified",2012,9.885
"Austria","Not specified",2013,12.244
"Austria","Not specified",2014,12.747
"Austria","Not specified",2015,12.927
"Austria","Not specified",2016,13.124
"Austria","Not specified",2017,11.939
"Austria","Not specified",2018,12.526999
"Austria","Not specified",2019,12.230999
"Austria","Not specified",2020,9.623
"Austria","Not specified",2021,9.106492
"Austria","Not specified",2022,11.971507
"Austria","Nuclear",2018,0
"Austria","Nuclear",2019,0
"Austria","Nuclear",2020,0
"Austria","Nuclear",2021,0
"Austria","Oil",2010,1210.748
"Austria","Oil",2011,963.981
"Austria","Oil",2012,710.145
"Austria","Oil",2013,664.36
"Austria","Oil",2014,632.721
"Austria","Oil",2015,818.961
"Austria","Oil",2016,951.005
"Austria","Oil",2017,813.918
"Austria","Oil",2018,682.320352
"Austria","Oil",2019,663.361033
"Austria","Oil",2020,694.534049
"Austria","Oil",2021,709.14805
"Austria","Oil",2022,690.643421
"Austria","Other combustible non-renewables",2010,559.2
"Austria","Other combustible non-renewables",2011,535.02
"Austria","Other combustible non-renewables",2012,656.676
"Austria","Other combustible non-renewables",2013,591.252
"Austria","Other combustible non-renewables",2014,530.912
"Austria","Other combustible non-renewables",2015,645.612
"Austria","Other combustible non-renewables",2016,680.825
"Austria","Other combustible non-renewables",2017,663.18
"Austria","Other combustible non-renewables",2018,682.67577
"Austria","Other combustible non-renewables",2019,754.85042
"Austria","Other combustible non-renewables",2020,707.965225
"Austria","Other combustible non-renewables",2021,714.451951
"Austria","Other combustible non-renewables",2022,728.172044
"Austria","Other renewables",2018,0
"Austria","Other renewables",2019,0
"Austria","Other renewables",2020,0
"Austria","Other renewables",2021,0
"Austria","Other renewables aggregated",2010,4260.465
"Austria","Other renewables aggregated",2011,4330.561
"Austria","Other renewables aggregated",2012,4467.834
